index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,lable
3.454509218,-0.074136664,1.342577507,2.523471027,-2.118065616,-0.029027013,1.068219544,-2.6345664,-0.149405355,X
3.449351223,-0.074352054,1.342520992,2.519915008,-2.119458375,-0.028962274,1.066820628,-2.636503496,-0.149368985,X
3.444785733,-0.074565348,1.342467,2.516802493,-2.120644782,-0.028892544,1.065619946,-2.638200769,-0.149328932,X
3.440641315,-0.074788945,1.342412747,2.514018435,-2.121660744,-0.028814217,1.064574824,-2.639704537,-0.149282615,X
3.437091855,-0.075004782,1.342361932,2.511670718,-2.122477114,-0.028733816,1.063719611,-2.640963246,-0.149233814,X
3.433822504,-0.075227221,1.342311042,2.509544201,-2.123172904,-0.028646132,1.06297261,-2.64209214,-0.149179058,X
3.430974071,-0.075447651,1.342262144,2.507730265,-2.123713525,-0.028554683,1.062365882,-2.643032183,-0.149120828,X
3.428437823,-0.075664739,1.342215108,2.50614793,-2.124136629,-0.02845992,1.06186482,-2.643837697,-0.149059318,X
3.426179428,-0.075877395,1.342169942,2.504772663,-2.124454857,-0.028362071,1.061458259,-2.644517913,-0.148995206,X
3.424170939,-0.076084427,1.342127376,2.503588189,-2.124672516,-0.028261026,1.061139923,-2.645085344,-0.148928779,X
3.423862824,-0.076234472,1.342022077,2.503658164,-2.12362787,-0.028156258,1.061358665,-2.644084959,-0.148851717,X
3.423603224,-0.076366213,1.341926721,2.503768235,-2.122611376,-0.028053174,1.061591784,-2.643105427,-0.148773562,X
3.423367056,-0.076481883,1.341836535,2.503913163,-2.12158248,-0.027946067,1.061843591,-2.642114951,-0.148690148,X
3.423146016,-0.076579705,1.341755527,2.504069332,-2.12058641,-0.027839875,1.062091725,-2.641159694,-0.148606384,X
3.422128372,-0.076610551,1.341526082,2.503653314,-2.118506669,-0.027727968,1.062086488,-2.638863881,-0.148502996,X
3.421069663,-0.076610988,1.341313397,2.503220486,-2.116501395,-0.027612518,1.062060333,-2.636679353,-0.148398658,X
3.41999034,-0.076580657,1.341121044,2.502785707,-2.114597459,-0.027494602,1.062018519,-2.634639258,-0.14829489,X
3.418881446,-0.076519093,1.340946854,2.502344452,-2.112782631,-0.027374214,1.061958935,-2.632735894,-0.14819325,X
3.416358124,-0.076375819,1.340599462,2.500892127,-2.109846246,-0.027247019,1.061456069,-2.629463836,-0.148072439,X
3.413903183,-0.076196281,1.340282151,2.499514249,-2.107084017,-0.027118098,1.060969818,-2.626437149,-0.147956966,X
3.408702884,-0.075939188,1.339911326,2.496149763,-2.103279415,-0.026986631,1.059625564,-2.622150107,-0.147840237,X
3.40385078,-0.0756559,1.339575324,2.49305974,-2.099749998,-0.026856022,1.058385336,-2.618231589,-0.147733008,X
3.399356651,-0.075348924,1.339273322,2.490252035,-2.096488946,-0.026726715,1.057254501,-2.614675543,-0.147635682,X
3.39613231,-0.075034413,1.339095786,2.488386855,-2.093941564,-0.026606414,1.056519014,-2.611968257,-0.147553327,X
3.393114593,-0.074695654,1.338940952,2.486684202,-2.091625713,-0.026496653,1.055852447,-2.609471313,-0.147471086,X
6.435282353,12.69778551,1.085254763,5.50245714,62.00881835,-0.117838114,3.375900358,62.97693918,-0.26358714,X
6.434857479,12.78006543,1.08549571,5.502091614,62.41007933,-0.117867795,3.375724461,63.38301909,-0.263654617,X
6.434444133,12.86194037,1.085732536,5.501730643,62.80963816,-0.11789726,3.375570112,63.78689807,-0.26372308,X
6.43418841,12.94901005,1.086010248,5.501499037,63.23515083,-0.117931107,3.375506241,64.21685379,-0.263802226,X
6.433954735,13.03395893,1.086279042,5.50127943,63.65111908,-0.117964224,3.375464409,64.63672065,-0.263880555,X
6.433754637,13.1140997,1.086526994,5.501079897,64.04400012,-0.117995239,3.37544702,65.0328888,-0.263954811,X
6.433581348,13.18961529,1.086760197,5.500896597,64.41518342,-0.118024902,3.375450137,65.40678758,-0.264026293,X
6.433435573,13.26092257,1.086976325,5.50073115,64.76633459,-0.118052883,3.375471274,65.76016279,-0.264094225,X
6.43331606,13.32955553,1.08718264,5.500578295,65.10522546,-0.118080154,3.375511042,66.10085049,-0.264160684,X
6.433222808,13.39418977,1.087374822,5.500440492,65.42523073,-0.118106274,3.375566846,66.42225549,-0.264224339,X
6.430074878,13.46885958,1.087609815,5.497688443,65.79467142,-0.118137018,3.37401473,66.79396628,-0.264297592,X
6.431021966,13.6942485,1.08774694,5.498439534,66.90041468,-0.118157544,3.374620574,67.91293309,-0.264347988,X
6.438820671,13.93808312,1.087762924,5.505041078,68.09639625,-0.118165628,3.378819348,69.12334064,-0.264369915,X
6.4500658,14.17159076,1.087761506,5.514567455,69.24285459,-0.11817362,3.384830104,70.28284898,-0.26439123,X
6.465073315,14.50118024,1.087676351,5.527280195,70.85954148,-0.118175357,3.392811916,71.91902546,-0.264397003,X
6.460085505,14.759125,1.088177374,5.522871326,72.12633975,-0.118243214,3.390286736,73.19963227,-0.264548833,X
6.450534405,15.03917644,1.088876364,5.51452932,73.50196946,-0.118334022,3.385328948,74.59090424,-0.264749296,X
6.380160648,15.99764423,1.091074057,5.454147751,78.19672908,-0.118586833,3.348386555,79.35096379,-0.265309672,X
6.330691456,17.44980972,1.092775779,5.41160206,85.30949442,-0.118784059,3.322364292,86.56489401,-0.265744731,X
6.292288026,19.06776499,1.093910746,5.378487665,93.237407,-0.118919489,3.302113274,94.60591476,-0.266040492,X
6.236690501,20.60714703,1.095438799,5.330648263,100.7850928,-0.119098558,3.272807359,102.2609775,-0.266432379,X
6.186079338,22.05650883,1.096757086,5.287066666,107.8939209,-0.119255906,3.246102903,109.4707298,-0.266774549,X
6.142673652,23.57206335,1.097918487,5.249610831,115.3292463,-0.119398888,3.223153292,117.011426,-0.267082204,X
6.121705263,24.71665322,1.098503902,5.231318338,120.9487403,-0.119481812,3.211964517,122.7096106,-0.2672538,X
6.100598734,25.67181077,1.099116436,5.212893137,125.639891,-0.119570547,3.200690638,127.4658418,-0.267436085,X
6.086718967,26.65085785,1.099427152,5.20063019,130.4477364,-0.119628799,3.193197166,132.3403371,-0.267548137,X
6.076070901,18.14744943,1.090986324,5.191201979,88.84174091,-0.118737348,3.187459454,90.12845528,-0.265533652,X
6.103588836,16.80204486,1.08763037,5.214489724,82.26604546,-0.1183958,3.201822602,83.45532547,-0.264751341,X
6.178025964,13.27369969,1.078916713,5.277844668,65.0019209,-0.117474417,3.240831653,65.93943737,-0.262668516,X
