thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,lable
6.497115301,-3.65471003,0.771681627,2.059540703,-4.611377329,-0.050500273,1.118340685,-4.952832201,-0.193228716,A
6.49890266,-3.654321906,0.772101559,2.060047419,-4.611120459,-0.050525064,1.118608547,-4.952566456,-0.193321072,A
6.500939653,-3.653911019,0.772578673,2.060626537,-4.610854594,-0.050553298,1.118917223,-4.952289091,-0.193426271,A
6.502640603,-3.653556155,0.772976108,2.061105968,-4.610628749,-0.050576682,1.119175051,-4.952050506,-0.193512943,A
6.504244642,-3.653236456,0.773349931,2.061558041,-4.610433895,-0.050598646,1.119420356,-4.951839049,-0.193594167,A
6.50507844,-3.653666745,0.773665739,2.061778373,-4.611145026,-0.050617315,1.119541448,-4.952598419,-0.193663189,A
6.506403991,-3.653910654,0.773984908,2.062158144,-4.611605649,-0.050636385,1.119750161,-4.953088585,-0.193733711,A
6.504808737,-3.654769804,0.774296131,2.061617503,-4.612819564,-0.050655271,1.119459272,-4.954387531,-0.193803819,A
6.506822843,-3.651782833,0.774299227,2.0622202,-4.609182993,-0.050654028,1.119789059,-4.950476537,-0.193797129,A
6.507904228,-3.650452331,0.774326953,2.06252134,-4.607659235,-0.05065424,1.119956373,-4.948832853,-0.193795847,A
6.509212711,-3.649206923,0.774358536,2.062887583,-4.606264476,-0.050654509,1.120165278,-4.947317807,-0.19379383,A
6.510321982,-3.648802101,0.774397638,2.063179988,-4.60597757,-0.050654749,1.120344133,-4.946975057,-0.193789948,A
6.511434412,-3.648379633,0.774442961,2.063483635,-4.605690342,-0.050653722,1.120532773,-4.946632036,-0.19378306,A
6.512579435,-3.647901912,0.774495419,2.063816849,-4.605346059,-0.050650879,1.120741727,-4.946234542,-0.193771995,A
6.513715269,-3.647420227,0.77455201,2.064142935,-4.605024906,-0.050647892,1.12096671,-4.945828961,-0.193756796,A
6.514772639,-3.647045259,0.774625386,2.064431528,-4.604892747,-0.050645505,1.12120182,-4.945577513,-0.19373796,A
6.515762791,-3.646922141,0.774693886,2.064684957,-4.605126412,-0.050642783,1.121450939,-4.945661839,-0.1937108,A
6.519572369,-3.646826707,0.774709329,2.065818649,-4.605434066,-0.050636508,1.122217193,-4.945760963,-0.193661876,A
6.523263438,-3.646678029,0.774728485,2.066899125,-4.605712398,-0.050631526,1.122988017,-4.945764859,-0.193607894,A
6.52484182,-3.647109884,0.774784451,2.067287953,-4.606777686,-0.050630569,1.123414186,-4.946555439,-0.19355803,A
6.526236346,-3.647611207,0.774844802,2.067589377,-4.607986045,-0.050632454,1.123828184,-4.947425235,-0.19350334,A
6.525858689,-3.649135474,0.774942559,2.06731131,-4.61050815,-0.050639505,1.123950927,-4.949646735,-0.193454152,A
6.522333698,-3.652108859,0.775086243,2.066033485,-4.614866982,-0.050651426,1.123557493,-4.953784508,-0.193409042,A
